description;amount;operation_time;hide;master;currency_id;category_id;card_id;parent_transaction_id;user_id;operation_type
Выплата процентов (4606);1225.21;2025-03-11 22:48:13;0;0;3;7;1;;1;outgoing
Вывод на карту (9963);133.65;2025-03-22 14:58:42;1;0;2;5;1;;1;outgoing
Капитализация (3627);4786.11;2025-04-16 10:05:17;0;1;1;6;3;;1;outgoing
Платеж в сервис (6301);394.92;2025-04-08 14:31:47;1;0;3;2;1;;2;outgoing
Вывод на карту;1901.25;2025-05-07 10:43:56;1;0;2;6;2;;3;outgoing
Кредитный платеж;2671.17;2025-03-30 21:34:58;1;1;2;9;2;;1;incoming
Оплата товара;2006.42;2025-02-26 17:56:04;1;0;3;8;4;;3;outgoing
Перевод на счет (4140);3725.20;2025-05-22 20:22:54;1;1;2;4;2;;1;outgoing
Приход с карты (2721);3960.60;2025-05-01 19:43:51;0;1;2;8;5;;3;outgoing
Выплата процентов;3408.87;2025-05-22 11:42:41;1;1;1;5;4;;1;transfer
Платеж в сервис;2538.90;2025-03-05 23:41:40;1;0;1;6;2;;3;outgoing
Кредитный платеж;98.36;2025-08-01 01:42:20;1;0;1;4;5;;1;outgoing
Приход с карты;2664.00;2025-03-09 11:17:06;1;0;2;9;5;;1;incoming
Выплата займа;3565.03;2025-04-27 15:38:47;1;1;3;8;1;;1;transfer
Оплата товара;1151.34;2025-03-26 11:20:20;0;0;1;2;1;;1;incoming
Вывод на карту (8053);1071.97;2025-03-10 15:35:13;1;0;2;7;2;;3;outgoing
Капитализация;2335.66;2025-06-26 01:36:26;0;0;2;6;1;;1;incoming
Расход на поездку (3106);1393.45;2025-03-31 19:09:49;0;1;3;2;1;;3;outgoing
Приход с карты;4243.63;2025-03-16 18:27:49;1;1;1;7;1;;1;outgoing
Зарплата;3925.86;2025-04-07 04:16:35;1;0;1;5;2;;3;incoming
Оплата товара;286.77;2025-05-30 23:38:49;0;0;3;2;2;;1;incoming
Купил ленту (9433);1231.83;2025-06-01 20:19:21;0;1;3;9;3;;1;transfer
Вывод на карту (2244);3358.78;2025-04-09 19:59:13;1;0;1;8;5;;1;outgoing
Платеж в сервис (4445);663.15;2025-04-18 15:43:04;0;0;2;5;2;;3;transfer
Кредитный платеж;4035.69;2025-05-21 01:01:24;1;0;1;5;1;;3;incoming
Перевод на счет (3550);3588.34;2025-03-23 11:32:24;1;1;2;1;1;;2;outgoing
Оплата товара;654.97;2025-08-10 04:43:37;0;1;3;7;5;3;3;incoming
Платеж в сервис (6149);2912.97;2025-03-13 11:45:53;0;0;2;6;1;;1;incoming
Выплата процентов (9273);4420.79;2025-04-28 23:33:00;0;0;1;3;4;24;2;outgoing
Выплата процентов;4053.94;2025-04-03 20:36:01;0;1;1;8;2;;2;transfer
Зарплата;4356.74;2025-03-26 23:01:46;0;1;2;5;1;;2;transfer
Выплата процентов;3397.91;2025-07-16 16:36:57;1;0;1;5;2;;2;outgoing
Приход с карты;1729.09;2025-07-06 09:22:10;1;0;2;4;3;28;1;incoming
Платеж в сервис;4701.38;2025-06-27 12:00:09;0;1;2;2;6;;3;transfer
Выплата процентов;3599.05;2025-04-09 21:23:31;1;1;2;7;6;;1;incoming
Купил ленту;1896.35;2025-06-29 11:56:27;0;1;2;9;1;;1;outgoing
Кредитный платеж;1611.92;2025-05-05 08:30:55;0;1;3;3;6;;3;incoming
Капитализация (3948);3364.31;2025-03-27 06:26:50;0;0;1;1;2;;3;outgoing
Расход на поездку;3149.20;2025-03-21 19:57:36;1;1;2;4;2;;1;outgoing
Купил ленту (8586);2323.28;2025-05-26 03:59:34;0;1;1;8;6;;3;incoming
Капитализация;4457.24;2025-06-05 02:39:28;1;1;1;8;4;;1;transfer
Платеж в сервис;1196.99;2025-05-05 00:14:57;1;0;2;6;3;;1;incoming
Перевод на счет (2603);3532.39;2025-02-26 09:28:06;1;1;3;8;4;;2;outgoing
Кредитный платеж;98.64;2025-07-23 08:26:11;1;1;1;6;3;;2;incoming
Выплата займа;3999.54;2025-07-26 10:32:41;1;0;2;7;4;22;3;outgoing
Выплата займа (7757);4597.79;2025-08-10 08:43:07;0;1;3;1;1;;1;outgoing
Перевод на счет (6311);1637.44;2025-05-07 16:18:03;1;1;2;7;3;;2;outgoing
Выплата займа;4999.54;2025-04-18 19:49:42;0;0;1;4;2;;3;incoming
Вывод на карту (1974);2820.28;2025-03-26 01:36:23;1;1;1;2;2;;1;incoming
Оплата товара;2879.41;2025-07-28 06:40:21;1;1;3;4;1;;3;incoming
Приход с карты;1508.61;2025-06-17 23:59:55;0;0;2;9;4;;1;incoming
Выплата процентов;4248.03;2025-07-12 20:28:09;0;1;2;8;6;;1;incoming
Выплата процентов (8917);3873.43;2025-05-09 12:15:16;1;1;1;2;3;;1;outgoing
Кредитный платеж;1895.57;2025-02-19 23:59:01;1;0;2;4;3;;2;transfer
Кредитный платеж;1382.07;2025-02-16 15:51:09;0;0;1;7;4;;1;outgoing
Выплата процентов;2241.42;2025-02-17 22:29:26;1;0;2;4;3;;2;outgoing
Платеж в сервис;2128.09;2025-06-29 02:26:27;1;1;3;8;3;;1;outgoing
Выплата займа (2058);3714.66;2025-08-04 23:47:27;0;0;1;8;3;;3;incoming
Зарплата;4163.31;2025-04-09 03:47:04;1;0;2;1;6;;2;outgoing
Оплата товара;3487.39;2025-03-09 13:31:37;1;0;1;5;4;;2;incoming
Оплата товара (7927);571.32;2025-02-26 14:17:00;1;0;3;1;2;;3;transfer
Приход с карты;593.14;2025-07-02 10:23:43;0;1;2;8;3;;2;transfer
Кредитный платеж;3048.54;2025-06-28 01:11:08;0;0;2;2;2;;3;outgoing
Перевод на счет (7481);3447.17;2025-05-10 10:01:18;0;0;2;5;6;;1;incoming
Зарплата;3125.66;2025-06-13 20:18:37;0;1;1;9;2;;2;incoming
Приход с карты (5139);2975.63;2025-07-13 04:43:04;1;1;1;8;6;;2;transfer
Платеж в сервис;2189.36;2025-06-02 11:31:05;1;1;3;5;1;;3;incoming
Кредитный платеж;4997.86;2025-06-15 20:15:22;1;0;1;8;5;;2;incoming
Кредитный платеж;4071.41;2025-08-08 06:19:06;1;1;2;6;3;;1;transfer
Купил ленту;1441.80;2025-08-03 23:14:09;0;1;1;6;3;;2;incoming
Оплата товара;2713.43;2025-04-30 05:13:45;0;1;3;8;6;;1;incoming
Зарплата;4638.44;2025-05-04 16:39:40;1;0;1;4;6;;3;outgoing
Платеж в сервис;1124.28;2025-07-16 06:52:20;0;1;1;3;4;;2;incoming
Выплата займа (8005);4901.24;2025-03-30 16:55:02;0;1;1;9;6;;1;transfer
Купил ленту;3938.80;2025-04-03 22:11:08;0;1;3;5;5;;3;outgoing
Перевод на счет;2422.22;2025-04-15 16:08:25;1;1;2;4;6;;2;incoming
Купил ленту (7849);3526.43;2025-07-10 21:17:10;1;0;2;1;2;;3;transfer
Приход с карты;2202.09;2025-05-20 12:06:30;1;0;3;3;4;;1;outgoing
Расход на поездку;1325.85;2025-06-07 00:28:49;1;0;2;9;4;;3;outgoing
Платеж в сервис (1221);1174.62;2025-06-18 00:36:21;1;0;3;2;4;;3;outgoing
Расход на поездку (5006);4517.22;2025-02-23 02:40:50;0;1;2;6;4;;3;outgoing
Кредитный платеж;901.10;2025-03-18 08:17:57;1;0;2;3;2;;2;outgoing
Зарплата;4494.64;2025-05-09 13:53:37;1;0;1;8;3;;2;outgoing
Выплата займа (5049);996.89;2025-04-25 01:52:28;1;0;1;7;5;;2;transfer
Оплата товара;3291.49;2025-04-05 05:45:18;0;1;2;4;5;;1;incoming
Кредитный платеж (2340);3141.61;2025-07-27 10:42:13;0;1;2;1;5;;1;outgoing
Зарплата;2078.10;2025-03-22 23:25:59;1;1;1;5;4;;2;transfer
Приход с карты;377.42;2025-06-30 13:56:03;0;1;3;6;1;;1;transfer
Платеж в сервис (6138);3364.47;2025-06-15 20:30:43;1;1;1;4;4;72;2;incoming
Вывод на карту;3177.38;2025-05-09 09:38:08;1;1;1;3;1;;2;outgoing
Приход с карты (8907);679.18;2025-05-07 11:44:26;1;0;2;2;4;;2;outgoing
Выплата займа;2217.47;2025-08-04 22:23:53;1;0;3;6;5;;3;transfer
Оплата товара;949.85;2025-03-08 19:43:47;1;0;3;4;6;;1;outgoing
Капитализация (2163);3935.10;2025-03-23 18:29:16;0;0;1;6;2;;3;outgoing
Зарплата;724.30;2025-03-10 05:33:56;1;0;1;1;2;31;3;transfer
Оплата товара (958);634.67;2025-05-01 14:32:57;0;0;2;8;3;;1;outgoing
Платеж в сервис (810);3636.49;2025-07-28 09:48:25;1;1;3;1;1;;2;outgoing
Выплата процентов (7367);368.38;2025-03-01 09:00:52;0;0;1;5;5;;3;transfer
Купил ленту;2653.25;2025-05-07 12:03:01;1;0;3;2;6;;3;incoming
Купил ленту;1143.24;2025-04-16 20:11:03;1;1;2;2;3;;3;transfer
Капитализация;3434.42;2025-05-11 04:50:13;0;0;1;7;1;;2;incoming
Платеж в сервис (9301);2808.86;2025-06-15 10:27:25;1;1;3;7;6;;2;incoming
Зарплата;2890.01;2025-03-25 03:01:53;1;0;1;6;5;;2;incoming
Вывод на карту;4225.93;2025-08-09 06:02:28;0;1;1;3;3;;2;transfer
Капитализация (2447);2832.04;2025-04-27 23:23:17;0;0;1;9;2;;2;transfer
Перевод на счет;3608.26;2025-07-04 15:55:46;0;0;1;3;5;11;2;outgoing
Выплата процентов;3035.77;2025-04-30 09:16:24;0;0;2;7;1;;3;incoming
Расход на поездку;1542.79;2025-03-26 12:38:22;0;0;1;5;2;;2;transfer
Капитализация (8249);3735.32;2025-03-18 11:00:04;1;0;3;9;6;;1;outgoing
Выплата займа (407);2299.31;2025-02-28 20:21:58;1;1;3;7;6;;2;outgoing
Купил ленту (5421);860.19;2025-08-04 09:41:37;1;1;1;7;1;;3;outgoing
Платеж в сервис (5183);3729.28;2025-03-26 17:11:27;0;0;3;2;5;;2;transfer
Выплата займа;3227.57;2025-03-13 10:01:11;0;0;2;4;2;;3;outgoing
Перевод на счет;3140.12;2025-05-09 08:16:37;1;1;3;6;2;;2;outgoing
Выплата процентов;1374.09;2025-02-24 22:39:48;0;1;2;8;1;;2;outgoing
Выплата процентов;4276.61;2025-06-05 12:50:09;1;1;3;9;6;;2;incoming
Выплата процентов (7892);2507.34;2025-08-06 05:21:37;1;0;2;2;5;;1;incoming
Выплата займа;2197.67;2025-05-19 22:16:16;0;1;2;5;4;;2;incoming
Оплата товара;3236.88;2025-02-26 16:44:20;0;1;2;5;6;;3;incoming
Капитализация (2417);4583.82;2025-04-11 16:12:03;1;0;3;2;3;;3;transfer
Перевод на счет;4144.97;2025-06-27 19:30:22;0;1;3;6;1;;1;incoming
Капитализация;2431.87;2025-03-27 14:39:56;0;0;1;5;1;;3;incoming
Оплата товара;4382.09;2025-06-06 01:53:44;1;0;1;3;6;;1;outgoing
Оплата товара;3382.14;2025-03-29 14:07:48;1;1;3;8;2;;2;outgoing
Вывод на карту;4735.70;2025-08-11 00:46:46;1;1;2;9;5;;1;incoming
Кредитный платеж (4196);261.85;2025-05-12 08:09:05;1;0;3;9;1;;1;transfer
Расход на поездку;737.60;2025-05-04 13:52:52;0;1;2;1;4;;3;transfer
Вывод на карту;408.95;2025-03-27 06:00:26;1;0;3;6;2;;2;outgoing
Выплата займа;3794.45;2025-05-10 06:33:19;0;0;1;5;2;;3;incoming
Платеж в сервис;3881.09;2025-03-29 14:36:20;0;0;1;7;6;;2;outgoing
Приход с карты;2499.65;2025-05-22 07:45:07;0;0;2;7;1;;1;incoming
Купил ленту (1502);2617.90;2025-04-20 17:48:28;0;1;2;1;6;;2;transfer
Выплата займа (1206);1724.67;2025-06-26 18:18:18;0;1;1;1;3;;3;incoming
Выплата процентов;3477.25;2025-06-08 13:05:55;0;0;3;8;1;;1;incoming
Оплата товара;1551.07;2025-04-27 12:19:39;1;1;1;4;3;;1;transfer
Зарплата (6129);2185.32;2025-04-27 20:05:37;1;1;2;3;4;;2;incoming
Зарплата;3635.68;2025-03-01 00:57:52;0;1;2;2;1;;2;transfer
Расход на поездку;2131.15;2025-06-18 23:47:01;1;1;1;6;5;;2;outgoing
Приход с карты;2031.64;2025-05-18 04:31:53;0;0;1;8;1;;1;transfer
Капитализация;2836.66;2025-06-03 18:00:34;1;1;2;8;1;;3;transfer
Купил ленту;1394.17;2025-08-06 17:26:47;0;0;2;9;4;;1;transfer
Зарплата;1073.64;2025-06-04 23:18:33;1;0;1;3;1;;3;outgoing
Приход с карты;4837.84;2025-08-11 10:00:08;1;0;3;9;3;;1;incoming
Капитализация;607.69;2025-03-23 00:14:06;0;0;2;1;3;;2;outgoing
Платеж в сервис (1512);329.67;2025-04-27 12:03:03;1;1;2;2;2;;3;outgoing
Расход на поездку;2587.28;2025-03-09 22:24:19;0;0;2;9;1;;3;incoming
Зарплата (5386);4673.75;2025-03-27 10:01:53;1;0;2;4;6;;2;incoming
Выплата процентов;2667.86;2025-05-16 07:06:56;0;0;1;6;5;8;1;outgoing
Выплата процентов;1324.01;2025-03-24 18:41:31;1;0;2;9;3;;2;outgoing
Вывод на карту;3425.27;2025-04-09 08:54:50;0;0;1;8;4;;1;transfer
Кредитный платеж (5331);3671.26;2025-07-19 18:33:28;1;0;2;9;5;;1;outgoing
Приход с карты (4161);705.25;2025-02-23 22:36:52;1;1;1;3;3;;3;transfer
Вывод на карту;2491.83;2025-05-18 11:36:39;1;1;2;1;1;;3;outgoing
Вывод на карту (5881);244.24;2025-04-06 11:27:33;1;1;3;1;1;;2;transfer
Купил ленту;2003.51;2025-05-28 11:36:59;0;1;3;5;1;;2;incoming
Зарплата;3116.58;2025-06-04 19:42:22;0;0;2;6;3;;2;incoming
Вывод на карту;2007.53;2025-02-22 01:54:03;0;0;3;6;4;;1;incoming
Платеж в сервис (5318);813.35;2025-08-12 03:27:35;1;1;3;9;5;;3;transfer
Расход на поездку;1842.42;2025-06-16 02:50:36;1;1;3;1;5;;3;incoming
Кредитный платеж (941);2918.03;2025-03-17 12:36:42;1;0;3;4;1;;3;outgoing
Вывод на карту (5239);2094.48;2025-04-30 03:59:14;0;1;3;8;6;;3;incoming
Платеж в сервис (5425);4990.62;2025-05-11 22:33:44;1;1;1;8;5;;2;transfer
Кредитный платеж;4786.73;2025-04-06 01:18:26;1;0;2;5;6;;3;outgoing
Капитализация;2802.88;2025-08-02 00:58:36;1;1;1;9;4;;2;transfer
Перевод на счет (4812);4776.61;2025-03-01 01:24:25;1;1;3;8;2;;3;transfer
Платеж в сервис;687.23;2025-06-05 15:43:28;0;0;1;9;2;;1;outgoing
Купил ленту;2362.55;2025-06-17 10:44:57;0;0;3;3;4;;2;outgoing
Выплата процентов (4806);1606.52;2025-06-11 02:16:43;0;0;3;1;2;;1;outgoing
Купил ленту;932.37;2025-06-29 15:41:37;1;0;1;5;5;;2;transfer
Расход на поездку;2716.96;2025-05-14 17:42:05;0;1;2;4;1;;3;outgoing
Выплата процентов (3150);71.41;2025-04-16 12:19:27;1;0;1;7;4;;1;outgoing
Выплата процентов (2403);2387.79;2025-08-02 06:45:55;0;1;2;4;4;;2;transfer
Кредитный платеж;58.17;2025-06-12 11:54:43;0;0;3;2;4;;2;incoming
Выплата займа;3451.76;2025-06-09 19:13:57;1;1;3;4;2;;2;incoming
Расход на поездку;3029.09;2025-04-30 16:27:10;1;0;1;2;5;;3;transfer
Приход с карты;561.93;2025-07-14 00:18:13;0;0;1;6;5;;3;incoming
Выплата займа;455.62;2025-05-17 16:49:16;0;1;1;9;4;;1;incoming
