description;amount;operation_time;hide;master;currency_id;category_id;card_id;parent_transaction_id;user_id;operation_type
Оплата товара;-1116.83;2025-09-29 09:37:11;0;1;1;7;5;;3;OUTGOING
Вывод на карту (9963);-2806.66;2025-09-25 17:16:08;1;0;1;2;1;;1;OUTGOING
Выплата займа;778.24;2025-11-08 03:13:28;1;0;1;1;1;;1;INCOMING
Кредитный платеж (811);2297.66;2025-06-11 07:18:47;1;0;2;6;4;;2;TRANSFER
Кредитный платеж (1239);-3306.66;2025-10-05 23:43:09;0;0;2;7;6;;3;OUTGOING
Перевод на счет;-3351.21;2025-09-23 03:55:40;0;0;2;6;4;;2;OUTGOING
Купил ленту (9225);-3423.39;2025-10-18 13:11:04;0;0;2;1;2;;1;OUTGOING
Приход с карты (9392);1574.07;2025-09-14 19:33:33;1;1;2;4;4;;2;TRANSFER
Выплата займа;1997.60;2025-06-28 07:31:47;0;1;2;1;2;;1;TRANSFER
Выплата процентов (7016);318.58;2025-07-27 12:39:34;1;1;1;3;1;;1;TRANSFER
Выплата процентов;3843.23;2025-07-20 01:37:20;1;1;1;1;1;;1;INCOMING
Платеж в сервис;4563.23;2025-10-23 12:42:15;1;0;2;7;6;;3;TRANSFER
Кредитный платеж;-560.23;2025-07-24 04:08:27;1;0;1;1;1;;1;OUTGOING
Приход с карты;-4889.94;2025-08-23 17:21:17;0;0;1;9;5;;3;OUTGOING
Зарплата;2116.27;2025-06-26 23:01:56;0;1;1;8;5;;3;TRANSFER
Расход на поездку;605.90;2025-06-29 06:45:24;1;0;2;9;6;;3;INCOMING
Оплата товара (1064);-337.93;2025-05-25 11:46:05;1;0;1;9;5;;3;OUTGOING
Вывод на карту;4677.64;2025-08-30 14:58:13;1;0;2;8;6;;3;TRANSFER
Приход с карты;2118.47;2025-08-11 21:36:38;0;0;1;1;1;;1;INCOMING
Вывод на карту (8886);701.77;2025-06-21 20:43:56;1;0;1;4;3;;2;INCOMING
Оплата товара;4180.30;2025-11-10 06:07:40;0;0;1;8;5;;3;TRANSFER
Оплата товара (135);1326.75;2025-10-07 23:14:57;1;1;2;2;2;;1;INCOMING
Перевод на счет (3666);-2896.32;2025-08-25 10:20:50;1;0;2;7;6;;3;OUTGOING
Оплата товара;-4256.86;2025-06-01 04:04:34;0;0;1;8;5;;3;OUTGOING
Кредитный платеж;410.84;2025-09-15 03:54:58;1;1;1;7;5;;3;TRANSFER
Зарплата;3227.86;2025-08-10 03:16:27;0;0;1;5;3;;2;TRANSFER
Приход с карты;1326.74;2025-11-03 19:44:40;0;0;1;8;5;;3;TRANSFER
Кредитный платеж;2645.17;2025-09-17 01:13:59;1;0;2;4;4;;2;TRANSFER
Зарплата (3550);1715.06;2025-09-20 14:03:06;1;1;1;2;1;;1;TRANSFER
Выплата процентов;221.39;2025-07-18 21:01:42;0;1;1;1;1;;1;INCOMING
Платеж в сервис (1332);4519.74;2025-08-26 01:00:51;1;0;2;8;6;;3;TRANSFER
Оплата товара;-3410.65;2025-09-16 21:12:59;1;1;2;6;4;;2;OUTGOING
Перевод на счет;-897.62;2025-11-02 05:50:57;1;0;1;2;1;;1;OUTGOING
Купил ленту;1112.95;2025-10-13 19:43:05;1;1;1;8;5;;3;INCOMING
Оплата товара;1641.98;2025-10-22 10:04:08;1;1;1;3;1;;1;INCOMING
Оплата товара (4379);-2903.37;2025-11-12 21:00:09;0;0;2;9;6;;3;OUTGOING
Купил ленту;579.11;2025-10-28 17:55:28;0;1;2;7;6;;3;TRANSFER
